id,csv_row,label,jev_prediction,jev_p_positive,jev_correct,qwen_prediction,qwen_raw,qwen_correct
imdb-29252,29252,positive,positive,1.0000,true,positive,positive,true
imdb-08071,8071,negative,negative,0.0000,true,negative,negative,true
imdb-25343,25343,positive,positive,1.0000,true,positive,positive,true
imdb-36892,36892,positive,positive,1.0000,true,positive,positive,true
imdb-16285,16285,negative,negative,0.0100,true,negative,negative,true
imdb-37125,37125,positive,positive,1.0000,true,positive,positive,true
imdb-14020,14020,negative,negative,0.0000,true,negative,negative,true
imdb-02240,2240,positive,positive,1.0000,true,positive,positive,true
imdb-00091,91,positive,positive,1.0000,true,positive,positive,true
imdb-29413,29413,positive,positive,0.8500,true,positive,positive,true
imdb-38444,38444,positive,positive,1.0000,true,positive,positive,true
imdb-42578,42578,positive,positive,1.0000,true,positive,positive,true
imdb-39486,39486,negative,negative,0.0000,true,negative,negative,true
imdb-17120,17120,negative,negative,0.0200,true,negative,negative,true
imdb-47049,47049,positive,positive,1.0000,true,positive,positive,true
imdb-44712,44712,negative,negative,0.0000,true,negative,negative,true
imdb-07021,7021,negative,negative,0.0000,true,negative,negative,true
imdb-11421,11421,positive,positive,1.0000,true,positive,positive,true
imdb-39416,39416,positive,positive,1.0000,true,positive,positive,true
imdb-15817,15817,positive,positive,0.9900,true,positive,positive,true
imdb-48535,48535,negative,negative,0.0000,true,negative,negative,true
imdb-18321,18321,negative,negative,0.0000,true,negative,negative,true
imdb-16596,16596,positive,positive,0.9900,true,positive,positive,true
imdb-19954,19954,negative,negative,0.0000,true,negative,negative,true
imdb-34062,34062,negative,negative,0.0000,true,negative,negative,true
imdb-21860,21860,positive,positive,1.0000,true,positive,positive,true
imdb-27189,27189,positive,positive,0.9900,true,positive,positive,true
imdb-03457,3457,positive,positive,1.0000,true,positive,positive,true
imdb-46438,46438,positive,positive,1.0000,true,positive,positive,true
imdb-38416,38416,positive,positive,1.0000,true,positive,positive,true
imdb-26605,26605,negative,negative,0.0000,true,negative,negative,true
imdb-27013,27013,negative,negative,0.0000,true,negative,negative,true
imdb-49009,49009,negative,negative,0.0000,true,negative,negative,true
imdb-06468,6468,positive,positive,1.0000,true,positive,positive,true
imdb-29834,29834,positive,positive,1.0000,true,positive,positive,true
imdb-01716,1716,negative,negative,0.0000,true,negative,negative,true
