id,csv_row,label,jev_prediction,jev_p_positive,jev_correct,qwen_prediction,qwen_raw,qwen_correct
gh-10580,918,negative,negative,0.0000,true,negative,negative,true
gh-1048296,1112,negative,negative,0.0000,true,negative,negative,true
gh-1034096,1427,positive,positive,0.9900,true,positive,positive,true
gh-2582076,4710,positive,positive,1.0000,true,positive,positive,true
gh-116072,2931,positive,positive,0.9800,true,positive,positive,true
gh-4006566,586,positive,positive,1.0000,true,positive,positive,true
gh-2322330,2798,positive,positive,1.0000,true,positive,positive,true
gh-666774,4106,negative,negative,0.0000,true,negative,negative,true
gh-3453309,3469,negative,negative,0.0700,true,positive,positive,false
gh-4095640,2336,positive,positive,0.9200,true,positive,positive,true
gh-1363568,2263,negative,negative,0.1200,true,negative,negative,true
gh-1236576,2386,positive,positive,1.0000,true,positive,positive,true
gh-392827,2549,positive,positive,1.0000,true,positive,positive,true
gh-872872,749,negative,negative,0.0000,true,negative,negative,true
gh-884881,388,negative,negative,0.0300,true,negative,negative,true
gh-264405,2652,positive,positive,1.0000,true,positive,positive,true
gh-1065728,1411,positive,positive,0.6200,true,positive,positive,true
gh-2360358,5060,negative,negative,0.0400,true,negative,negative,true
gh-6019455,4324,negative,negative,0.0300,true,negative,negative,true
gh-133012,1616,negative,positive,0.8600,false,positive,positive,false
gh-1781088,4620,positive,positive,0.8000,true,positive,positive,true
gh-432850,4345,negative,negative,0.0100,true,negative,negative,true
gh-1713914,3051,positive,positive,1.0000,true,positive,positive,true
gh-1153264,5905,negative,negative,0.0000,true,negative,negative,true
gh-185071,4474,negative,negative,0.0700,true,positive,positive,false
gh-1621959,3578,positive,positive,0.5800,true,positive,positive,true
gh-1569231,4167,negative,negative,0.1600,true,positive,positive,false
gh-1197165,1991,negative,negative,0.0000,true,negative,negative,true
gh-3165372,4789,positive,positive,1.0000,true,positive,positive,true
gh-165527,2793,positive,positive,0.9900,true,positive,positive,true
gh-50125,5089,negative,negative,0.3900,true,negative,negative,true
gh-203604,1282,negative,positive,0.7500,false,positive,positive,false
gh-1697494,2938,positive,positive,1.0000,true,positive,positive,true
gh-2348649,2765,positive,positive,0.9900,true,positive,positive,true
gh-1036479,1422,positive,positive,1.0000,true,positive,positive,true
gh-2344197,2042,negative,negative,0.0000,true,negative,negative,true
gh-178116,1498,positive,positive,1.0000,true,positive,positive,true
gh-752695,1707,negative,negative,0.0000,true,negative,negative,true
gh-1357250,2447,positive,positive,0.9900,true,positive,positive,true
gh-1985068,4619,positive,positive,0.8900,true,positive,positive,true
gh-3662070,5482,positive,positive,1.0000,true,positive,positive,true
gh-1043658,702,positive,positive,0.9800,true,positive,positive,true
gh-2347735,274,negative,positive,0.8500,false,positive,positive,false
gh-69466,3007,positive,positive,0.9900,true,positive,positive,true
gh-46993,3042,positive,positive,0.9900,true,positive,positive,true
gh-6203031,4198,positive,positive,0.9800,true,positive,positive,true
gh-2856696,3965,negative,negative,0.0000,true,negative,negative,true
gh-1343388,5274,negative,negative,0.0000,true,negative,negative,true
gh-393944,5370,positive,positive,1.0000,true,positive,positive,true
gh-701021,3695,positive,positive,0.7100,true,positive,positive,true
gh-3525398,4375,negative,negative,0.0100,true,negative,negative,true
gh-4229074,4642,positive,positive,1.0000,true,positive,positive,true
gh-282714,4859,positive,positive,0.9900,true,positive,positive,true
gh-1890903,999,negative,negative,0.0000,true,negative,negative,true
gh-1073388,1160,negative,negative,0.0000,true,negative,negative,true
gh-1487844,6032,positive,positive,0.7700,true,positive,positive,true
gh-997154,3691,negative,positive,0.6400,false,positive,positive,false
gh-2361679,1202,negative,negative,0.0000,true,negative,negative,true
gh-3053393,4662,positive,negative,0.1300,false,positive,positive,true
gh-4601390,4783,positive,positive,0.9900,true,positive,positive,true
gh-326172,5955,positive,positive,0.9900,true,positive,positive,true
gh-733311,421,positive,positive,0.9600,true,positive,positive,true
gh-1151724,6081,positive,positive,0.9100,true,positive,positive,true
gh-704820,6002,positive,positive,0.9600,true,positive,positive,true
gh-2554701,7080,negative,negative,0.0000,true,negative,negative,true
gh-1182869,1362,positive,positive,1.0000,true,positive,positive,true
gh-3419817,25,positive,positive,0.9700,true,positive,positive,true
gh-2246535,1907,negative,negative,0.2700,true,positive,positive,false
gh-782844,5709,negative,negative,0.0000,true,negative,negative,true
gh-679515,2507,positive,positive,1.0000,true,positive,positive,true
gh-1033528,1428,positive,positive,1.0000,true,positive,positive,true
gh-82261,4900,positive,positive,1.0000,true,positive,positive,true
gh-2267916,1045,negative,negative,0.0000,true,negative,negative,true
gh-3229694,4453,negative,negative,0.0000,true,negative,negative,true
gh-5768,2308,negative,negative,0.0000,true,negative,negative,true
gh-1051519,1024,negative,negative,0.0000,true,negative,negative,true
gh-1859834,1384,positive,positive,1.0000,true,positive,positive,true
gh-178962,2717,positive,positive,1.0000,true,positive,positive,true
gh-3790480,1961,negative,negative,0.1300,true,positive,positive,false
gh-761440,6026,positive,positive,0.8700,true,positive,positive,true
gh-128078,6412,positive,positive,0.5700,true,positive,positive,true
gh-267223,1721,negative,negative,0.0400,true,negative,negative,true
gh-1118518,6028,positive,positive,0.9400,true,positive,positive,true
gh-1608648,2366,positive,positive,1.0000,true,positive,positive,true
gh-405412,521,positive,positive,0.5200,true,positive,positive,true
gh-2260856,1970,negative,negative,0.0000,true,negative,negative,true
gh-639064,7107,positive,negative,0.3200,false,positive,positive,true
gh-3983069,4468,negative,negative,0.0000,true,negative,negative,true
gh-1550465,2187,negative,negative,0.0000,true,negative,negative,true
gh-3116029,4681,positive,positive,0.9700,true,positive,positive,true
gh-2064365,2197,negative,negative,0.4100,true,positive,positive,false
gh-1943087,1755,negative,negative,0.0000,true,negative,negative,true
gh-2949554,1030,negative,negative,0.0800,true,negative,negative,true
gh-851959,733,positive,positive,1.0000,true,positive,positive,true
gh-373889,3843,positive,positive,1.0000,true,positive,positive,true
